Name	ORF	Link	Annotation	Growth Rate Slope	Bootstrapped p-value of slope	R^2	Growth Rate Response @1.5SD	ESR	Calibration gene?	Bootstrapped p-value of R^2	p-value of R^2	Growth Rate Baseline	Variability	Bootstrapped p-value of variability	Unresponsive?
IPP1	YBR011C	YBR011C	phosphate metabolism || inorganic diphosphatase activity || YBR011C || 1083751	1.59	2.51E-01	0.15				2.71E-02	1.82E-02	-0.58	0.30	2.25E-02	
IMG2	YCR071C	YCR071C	protein biosynthesis || structural constituent of ribosome || YCR071C || 1083623	1.59	2.50E-01	0.12				5.97E-02	4.22E-02	-0.90	0.30	2.97E-02	
RPS23B	YPR132W	YPR132W	protein biosynthesis* || structural constituent of ribosome || YPR132W || 1085964	1.59	2.50E-01	0.11		down		7.03E-02	5.00E-02	-0.19	0.26	4.50E-03	
VAR1	Q0140	Q0140	protein biosynthesis* || structural constituent of ribosome || Q0140 || 1084236	1.59	2.50E-01	0.04				2.85E-01	2.35E-01	-0.88	0.53	8.60E-01	
NUG1	YER006W	YER006W	rRNA processing || GTPase activity || YER006W || 1083897	1.59	2.49E-01	0.34		down		3.20E-04	2.09E-04	-0.41	0.18	0.00E+00	
TIM50	YPL063W	YPL063W	mitochondrial matrix protein import || molecular function unknown || YPL063W || 1084453	1.59	2.49E-01	0.05				2.32E-01	1.86E-01	-0.68	0.54	8.88E-01	
DPB4	YDR121W	YDR121W	chromatin silencing at telomere* || epsilon DNA polymerase activity || YDR121W || 1086581	1.60	2.49E-01	0.16				2.59E-02	1.74E-02	-0.02	0.28	8.60E-03	
CDC19	YAL038W	YAL038W	glycolysis* || pyruvate kinase activity || YAL038W || 1081901	1.60	2.49E-01	0.02		down		4.79E-01	4.28E-01	0.25	0.81	1.00E+00	
YPL103C	YPL103C	YPL103C	biological process unknown || molecular function unknown || YPL103C || 1085184	1.60	2.48E-01	0.22				6.27E-03	4.17E-03	-0.76	0.24	6.00E-04	
PUS4	YNL292W	YNL292W	tRNA modification || pseudouridylate synthase activity || YNL292W || 1085527	1.60	2.48E-01	0.49		down		0.00E+00	1.87E-06	-0.41	0.17	0.00E+00	
ABP140	YOR239W	YOR239W	actin cytoskeleton organization and biogenesis || S-adenosylmethionine-dependent methyltransferase activity* || YOR239W || 1082497	1.60	2.48E-01	0.19				1.22E-02	8.00E-03	-0.67	0.24	9.00E-04	
CTR1	YPR124W	YPR124W	copper ion import || copper uptake transporter activity || YPR124W || 1082022	1.60	2.47E-01	0.08				1.22E-01	9.08E-02	-0.89	0.41	3.78E-01	
COG3	YER157W	YER157W	ER to Golgi transport* || protein transporter activity || YER157W || 1081807	1.60	2.47E-01	0.26				2.35E-03	1.61E-03	-0.07	0.22	3.00E-04	
YKR077W	YKR077W	YKR077W	biological process unknown || molecular function unknown || YKR077W || 1082589	1.60	2.47E-01	0.16				2.57E-02	1.73E-02	-0.51	0.28	1.06E-02	
TAF9	YMR236W	YMR236W	transcription initiation from RNA polymerase II promoter* || general RNA polymerase II transcription factor activity || YMR236W || 1086266	1.61	2.46E-01	0.20				1.04E-02	6.90E-03	-0.21	0.21	0.00E+00	
CLB2	YPR119W	YPR119W	G2/M transition of mitotic cell cycle* || cyclin-dependent protein kinase regulator activity || YPR119W || 1085669	1.61	2.45E-01	0.11				6.87E-02	4.89E-02	-0.19	0.34	9.19E-02	
RMD6	YEL072W	YEL072W	biological process unknown || molecular function unknown || YEL072W || 1085291	1.61	2.45E-01	0.03				3.80E-01	3.28E-01	0.15	0.65	9.85E-01	
YNL150W	YNL150W	YNL150W	|| || YNL150W || 1086855	1.61	2.45E-01	0.12				4.94E-02	3.46E-02	0.01	0.30	2.88E-02	
YNL190W	YNL190W	YNL190W	response to dessication || molecular function unknown || YNL190W || 1084031	1.61	2.44E-01	0.05				2.19E-01	1.74E-01	-0.21	0.42	4.28E-01	
STE4	YOR212W	YOR212W	signal transduction during conjugation with cellular fusion || GTPase activity || YOR212W || 1085702	1.62	2.43E-01	0.12				5.97E-02	4.22E-02	-0.31	0.31	4.29E-02	
YGL149W	YGL149W	YGL149W	|| || YGL149W || 1083371	1.62	2.43E-01	0.17				2.02E-02	1.34E-02	-0.52	0.24	6.00E-04	
YOR131C	YOR131C	YOR131C	biological process unknown || molecular function unknown || YOR131C || 1081177	1.62	2.42E-01	0.14				3.34E-02	2.23E-02	-0.23	0.26	3.10E-03	
YDL119C	YDL119C	YDL119C	transport || transporter activity || YDL119C || 1084066	1.63	2.41E-01	0.17				1.86E-02	1.23E-02	-0.61	0.29	1.42E-02	
SUT1	YGL162W	YGL162W	regulation of transcription from RNA polymerase II promoter* || transcription factor activity* || YGL162W || 1081934	1.63	2.40E-01	0.12				4.94E-02	3.46E-02	-0.85	0.34	9.47E-02	
PER1	YCR044C	YCR044C	response to unfolded protein* || molecular function unknown || YCR044C || 1083401	1.63	2.39E-01	0.15				3.10E-02	2.06E-02	-0.45	0.30	2.51E-02	
FCY1	YPR062W	YPR062W	pyrimidine salvage* || cytosine deaminase activity || YPR062W || 1083701	1.63	2.39E-01	0.38				1.00E-04	5.78E-05	-0.33	0.17	0.00E+00	
YKR035C	YKR035C	YKR035C	|| || YKR035C || 1082763	1.63	2.39E-01	0.23				4.20E-03	2.82E-03	-0.28	0.24	9.00E-04	
SRP21	YKL122C	YKL122C	protein-ER targeting* || signal sequence binding || YKL122C || 1081746	1.63	2.38E-01	0.10		down		8.00E-02	5.73E-02	-0.35	0.34	1.05E-01	
RPS6B	YBR181C	YBR181C	protein biosynthesis || structural constituent of ribosome || YBR181C || 1083890	1.64	2.38E-01	0.17		down		1.75E-02	1.15E-02	-0.35	0.20	0.00E+00	
RGD2	YFL047W	YFL047W	small GTPase mediated signal transduction || Rho GTPase activator activity || YFL047W || 1081140	1.64	2.38E-01	0.30				7.30E-04	5.10E-04	-0.53	0.21	0.00E+00	
NTA1	YJR062C	YJR062C	protein catabolism* || protein N-terminal asparagine amidohydrolase activity || YJR062C || 1081687	1.64	2.37E-01	0.37				1.40E-04	9.53E-05	-0.31	0.20	0.00E+00	
BNA6	YFR047C	YFR047C	NAD biosynthesis || nicotinate-nucleotide diphosphorylase (carboxylating) activity || YFR047C || 1081750	1.64	2.36E-01	0.11				6.25E-02	4.42E-02	-0.78	0.32	6.40E-02	
HIS3	YOR202W	YOR202W	histidine biosynthesis || imidazoleglycerol-phosphate dehydratase activity || YOR202W || 1086887	1.64	2.36E-01	0.07				1.52E-01	1.16E-01	-0.87	0.44	5.74E-01	
PDC5	YLR134W	YLR134W	pyruvate metabolism* || pyruvate decarboxylase activity || YLR134W || 1084056	1.64	2.36E-01	0.02		down		4.30E-01	3.77E-01	-0.36	0.72	9.97E-01	
ARC35	YNR035C	YNR035C	actin cytoskeleton organization and biogenesis* || structural molecule activity || YNR035C || 1085265	1.65	2.35E-01	0.18				1.48E-02	9.58E-03	-0.58	0.28	1.04E-02	
TIF34	YMR146C	YMR146C	translational initiation || translation initiation factor activity || YMR146C || 1080654	1.65	2.34E-01	0.25		down		2.63E-03	1.75E-03	-0.51	0.23	4.00E-04	
RTS1	YOR014W	YOR014W	protein biosynthesis* || protein phosphatase type 2A activity || YOR014W || 1081789	1.65	2.33E-01	0.22				5.52E-03	3.70E-03	-0.56	0.20	0.00E+00	
GEF1	YJR040W	YJR040W	iron ion homeostasis* || voltage-gated chloride channel activity || YJR040W || 1085054	1.65	2.33E-01	0.23				4.78E-03	3.19E-03	-0.34	0.21	0.00E+00	
HSP10	YOR020C	YOR020C	protein folding || unfolded protein binding || YOR020C || 1085030	1.66	2.33E-01	0.06				1.99E-01	1.57E-01	-0.75	0.42	4.32E-01	
CCR4	YAL021C	YAL021C	regulation of transcription from RNA polymerase II promoter* || 3'-5'-exoribonuclease activity || YAL021C || 1083419	1.66	2.33E-01	0.07				1.57E-01	1.21E-01	-0.34	0.42	4.71E-01	
SLY41	YOR307C	YOR307C	ER to Golgi transport || molecular function unknown || YOR307C || 1086725	1.66	2.32E-01	0.20				9.23E-03	6.11E-03	-0.25	0.24	8.00E-04	
RPL41B	YDL133C-A	YDL133C-A	protein biosynthesis || structural constituent of ribosome || YDL133C-A || 1083653	1.66	2.31E-01	0.09				1.02E-01	7.46E-02	-0.28	0.31	4.14E-02	
POP6	YGR030C	YGR030C	rRNA processing* || ribonuclease P activity* || YGR030C || 1082617	1.66	2.31E-01	0.09				1.08E-01	7.95E-02	-0.27	0.36	1.61E-01	
YLR255C	YLR255C	YLR255C	|| || YLR255C || 1081433	1.67	2.30E-01	0.20				8.80E-03	5.86E-03	-0.53	0.26	4.30E-03	
YHR162W	YHR162W	YHR162W	biological process unknown || molecular function unknown || YHR162W || 1083062	1.67	2.30E-01	0.04				3.21E-01	2.70E-01	-0.18	0.59	9.49E-01	
YMR144W	YMR144W	YMR144W	biological process unknown || molecular function unknown || YMR144W || 1086583	1.68	2.27E-01	0.13				4.40E-02	3.03E-02	-0.23	0.30	3.00E-02	
RPS0B	YLR048W	YLR048W	protein biosynthesis* || structural constituent of ribosome || YLR048W || 1085091	1.68	2.27E-01	0.19		down		1.27E-02	8.27E-03	-0.41	0.25	2.20E-03	
LYS21	YDL131W	YDL131W	lysine biosynthesis via aminoadipic acid || homocitrate synthase activity || YDL131W || 1084248	1.68	2.26E-01	0.10				8.84E-02	6.39E-02	-0.47	0.39	2.86E-01	
MET7	YOR241W	YOR241W	one-carbon compound metabolism || tetrahydrofolylpolyglutamate synthase activity || YOR241W || 1084644	1.68	2.26E-01	0.52				0.00E+00	6.27E-07	-0.27	0.15	0.00E+00	
SCC2	YDR180W	YDR180W	mitotic sister chromatid cohesion* || protein kinase activity || YDR180W || 1084542	1.68	2.25E-01	0.33				3.90E-04	2.79E-04	-0.33	0.19	0.00E+00	
CDC36	YDL165W	YDL165W	regulation of transcription from RNA polymerase II promoter* || 3'-5'-exoribonuclease activity || YDL165W || 1084732	1.68	2.25E-01	0.31				5.60E-04	4.40E-04	-0.24	0.18	0.00E+00	
RPL13B	YMR142C	YMR142C	protein biosynthesis || structural constituent of ribosome || YMR142C || 1084033	1.68	2.25E-01	0.20		down		8.54E-03	5.72E-03	-0.49	0.19	0.00E+00	
SPC97	YHR172W	YHR172W	microtubule nucleation || structural constituent of cytoskeleton || YHR172W || 1084969	1.69	2.24E-01	0.14				3.68E-02	2.49E-02	-0.35	0.30	2.52E-02	
NUP84	YDL116W	YDL116W	mRNA-nucleus export* || structural molecule activity || YDL116W || 1086726	1.69	2.24E-01	0.22				5.36E-03	3.62E-03	-0.39	0.21	1.00E-04	
CDC21	YOR074C	YOR074C	DNA-dependent DNA replication* || thymidylate synthase activity || YOR074C || 1086366	1.69	2.24E-01	0.17				1.77E-02	1.17E-02	-0.40	0.27	5.00E-03	
YJR129C	YJR129C	YJR129C	biological process unknown || S-adenosylmethionine-dependent methyltransferase activity || YJR129C || 1085958	1.69	2.24E-01	0.19				1.22E-02	8.00E-03	-0.34	0.27	5.30E-03	
CPT1	YNL130C	YNL130C	phosphatidylcholine biosynthesis || diacylglycerol cholinephosphotransferase activity || YNL130C || 1086693	1.69	2.23E-01	0.14				3.56E-02	2.40E-02	-0.62	0.30	2.36E-02	
YER076C	YER076C	YER076C	biological process unknown || molecular function unknown || YER076C || 1084017	1.69	2.22E-01	0.33				3.90E-04	2.71E-04	-0.59	0.20	0.00E+00	
TIF4631	YGR162W	YGR162W	translational initiation || translation initiation factor activity || YGR162W || 1082985	1.69	2.22E-01	0.26		down		2.32E-03	1.59E-03	-0.42	0.23	4.00E-04	
ENB1	YOL158C	YOL158C	ferric-enterobactin transport || ferric-enterobactin transporter activity || YOL158C || 1085187	1.69	2.22E-01	0.01				5.49E-01	5.01E-01	-1.11	1.04	1.00E+00	
DLD3	YEL071W	YEL071W	lactate metabolism || D-lactate dehydrogenase (cytochrome) activity || YEL071W || 1082117	1.69	2.22E-01	0.04				3.21E-01	2.70E-01	0.30	0.63	9.78E-01	
YEL068C	YEL068C	YEL068C	|| || YEL068C || 1085079	1.69	2.22E-01	0.16				2.38E-02	1.58E-02	-0.15	0.30	2.97E-02	
AGA2	YGL032C	YGL032C	agglutination during conjugation with cellular fusion || cell adhesion molecule binding || YGL032C || 1084731	1.70	2.22E-01	0.04				3.22E-01	2.71E-01	0.00	0.56	9.18E-01	
HOM6	YJR139C	YJR139C	methionine metabolism* || homoserine dehydrogenase activity || YJR139C || 1085523	1.70	2.21E-01	0.04				2.78E-01	2.28E-01	-0.34	0.50	7.89E-01	
GPI10	YGL142C	YGL142C	GPI anchor biosynthesis || mannosyltransferase activity || YGL142C || 1081482	1.70	2.21E-01	0.19				1.23E-02	8.05E-03	-0.56	0.26	4.40E-03	
BTT1	YDR252W	YDR252W	nascent polypeptide association || unfolded protein binding || YDR252W || 1085519	1.70	2.21E-01	0.15				2.89E-02	1.94E-02	-0.23	0.29	1.76E-02	
YGL085W	YGL085W	YGL085W	biological process unknown || molecular function unknown || YGL085W || 1086743	1.70	2.20E-01	0.32				4.10E-04	2.99E-04	-0.18	0.19	0.00E+00	
GGA2	YHR108W	YHR108W	Golgi to vacuole transport || molecular function unknown || YHR108W || 1086295	1.71	2.19E-01	0.35				2.30E-04	1.46E-04	-0.37	0.18	0.00E+00	
SGO1	YOR073W	YOR073W	mitotic sister chromatid segregation* || molecular function unknown || YOR073W || 1081919	1.71	2.19E-01	0.23				4.90E-03	3.28E-03	-0.27	0.23	4.00E-04	
TUB2	YFL037W	YFL037W	mitotic sister chromatid segregation* || structural constituent of cytoskeleton || YFL037W || 1085542	1.71	2.18E-01	0.14				3.78E-02	2.57E-02	-0.45	0.30	3.04E-02	
MAK10	YEL053C	YEL053C	N-terminal protein amino acid acetylation || amino-acid N-acetyltransferase activity || YEL053C || 1083123	1.71	2.17E-01	0.37				1.40E-04	9.03E-05	-0.34	0.20	0.00E+00	
DFR1	YOR236W	YOR236W	folic acid and derivative metabolism || dihydrofolate reductase activity || YOR236W || 1082715	1.72	2.16E-01	0.19				1.18E-02	7.70E-03	-0.66	0.25	2.70E-03	
UIP5	YKR044W	YKR044W	biological process unknown || molecular function unknown || YKR044W || 1085452	1.72	2.15E-01	0.16				2.55E-02	1.71E-02	-0.68	0.28	1.28E-02	
RGD1	YBR260C	YBR260C	osmosensory signaling pathway || Rho GTPase activator activity || YBR260C || 1084920	1.72	2.15E-01	0.45				0.00E+00	8.31E-06	-0.60	0.17	0.00E+00	
NAM8	YHR086W	YHR086W	"nuclear mRNA splicing, via spliceosome* || RNA binding* || YHR086W || 1082288"	1.72	2.14E-01	0.18				1.62E-02	1.05E-02	-0.47	0.25	2.20E-03	
MDM35	YKL053C-A	YKL053C-A	mitochondrion organization and biogenesis || molecular function unknown || YKL053C-A || 1084824	1.72	2.14E-01	0.10				8.96E-02	6.47E-02	-0.74	0.31	3.92E-02	
RPL34A	YER056C-A	YER056C-A	protein biosynthesis || structural constituent of ribosome || YER056C-A || 1085586	1.73	2.13E-01	0.18		down		1.38E-02	8.90E-03	-0.78	0.22	1.00E-04	
TIM21	YGR033C	YGR033C	mitochondrial matrix protein import || molecular function unknown || YGR033C || 1084933	1.73	2.13E-01	0.19				1.35E-02	8.71E-03	-0.53	0.27	8.00E-03	
RVB1	YDR190C	YDR190C	regulation of transcription from RNA polymerase II promoter* || ATPase activity || YDR190C || 1082766	1.73	2.12E-01	0.30		down		6.90E-04	4.87E-04	-0.32	0.22	1.00E-04	
YPR136C	YPR136C	YPR136C	|| || YPR136C || 1082182	1.73	2.12E-01	0.41		down		5.00E-05	2.73E-05	-0.40	0.20	0.00E+00	
BRE5	YNR051C	YNR051C	protein deubiquitination || molecular function unknown || YNR051C || 1085837	1.73	2.12E-01	0.30				9.10E-04	6.00E-04	-0.58	0.22	1.00E-04	
PET309	YLR067C	YLR067C	protein biosynthesis* || translation regulator activity || YLR067C || 1081333	1.74	2.11E-01	0.25				2.72E-03	1.87E-03	-0.53	0.23	4.00E-04	
IDP1	YDL066W	YDL066W	glutamate biosynthesis* || isocitrate dehydrogenase (NADP+) activity || YDL066W || 1083753	1.74	2.10E-01	0.05				2.19E-01	1.74E-01	-0.27	0.41	4.00E-01	
NMD5	YJR132W	YJR132W	protein-nucleus import || protein carrier activity || YJR132W || 1086497	1.74	2.09E-01	0.27				1.43E-03	1.04E-03	-0.42	0.24	9.00E-04	
EMP70	YLR083C	YLR083C	transport || transporter activity || YLR083C || 1084231	1.75	2.09E-01	0.29		down		1.00E-03	6.91E-04	-0.49	0.20	0.00E+00	
ARV1	YLR242C	YLR242C	sphingolipid metabolism* || molecular function unknown || YLR242C || 1083349	1.75	2.07E-01	0.18				1.54E-02	1.01E-02	-0.24	0.28	1.02E-02	
NOP15	YNL110C	YNL110C	ribosomal large subunit biogenesis* || molecular function unknown || YNL110C || 1085827	1.75	2.07E-01	0.09		down		1.14E-01	8.42E-02	-0.33	0.38	2.60E-01	
MMF1	YIL051C	YIL051C	mitochondrial genome maintenance* || molecular function unknown || YIL051C || 1082639	1.75	2.06E-01	0.10				8.54E-02	6.15E-02	-0.37	0.35	1.24E-01	
DEG1	YFL001W	YFL001W	RNA processing || pseudouridylate synthase activity || YFL001W || 1083155	1.76	2.06E-01	0.39				8.00E-05	4.21E-05	-0.48	0.20	0.00E+00	
MAK16	YAL025C	YAL025C	ribosomal large subunit biogenesis || molecular function unknown || YAL025C || 1081756	1.76	2.06E-01	0.31		down		6.50E-04	4.68E-04	-0.50	0.23	4.00E-04	
RPS25B	YLR333C	YLR333C	protein biosynthesis || structural constituent of ribosome || YLR333C || 1084833	1.76	2.06E-01	0.19		down		1.29E-02	8.33E-03	-0.30	0.22	2.00E-04	
NUP100	YKL068W	YKL068W	mRNA-nucleus export* || structural molecule activity || YKL068W || 1082696	1.76	2.05E-01	0.23				4.70E-03	3.10E-03	-0.62	0.24	1.20E-03	
IFM1	YOL023W	YOL023W	translational initiation || RNA binding* || YOL023W || 1083629	1.76	2.05E-01	0.20				9.29E-03	6.13E-03	-0.80	0.28	1.18E-02	
ICE2	YIL090W	YIL090W	ER organization and biogenesis || molecular function unknown || YIL090W || 1081562	1.76	2.05E-01	0.18				1.67E-02	1.09E-02	-0.66	0.24	7.00E-04	
ADO1	YJR105W	YJR105W	purine base metabolism || adenosine kinase activity || YJR105W || 1084911	1.76	2.05E-01	0.11				6.23E-02	4.41E-02	-0.76	0.37	1.99E-01	
BDH1	YAL060W	YAL060W	"butanediol fermentation || (R,R)-butanediol dehydrogenase activity || YAL060W || 1081570"	1.76	2.05E-01	0.07				1.72E-01	1.33E-01	-1.05	0.51	8.10E-01	
MPA43	YNL249C	YNL249C	biological process unknown || molecular function unknown || YNL249C || 1081856	1.76	2.05E-01	0.42				4.00E-05	2.07E-05	-0.35	0.19	0.00E+00	
POL1	YNL102W	YNL102W	DNA replication initiation* || alpha DNA polymerase activity || YNL102W || 1081269	1.76	2.04E-01	0.18		down		1.55E-02	1.01E-02	-0.41	0.29	1.44E-02	
RPL17B	YJL177W	YJL177W	protein biosynthesis || structural constituent of ribosome || YJL177W || 1081625	1.76	2.04E-01	0.38		down		1.00E-04	5.60E-05	-0.63	0.19	0.00E+00	
APA1	YCL050C	YCL050C	nucleotide metabolism || bis(5'-nucleosyl)-tetraphosphatase activity || YCL050C || 1085815	1.77	2.04E-01	0.34				3.10E-04	1.93E-04	-0.37	0.19	0.00E+00	
AFG2	YLR397C	YLR397C	response to drug || ATPase activity || YLR397C || 1085072	1.77	2.03E-01	0.25		down		2.75E-03	1.90E-03	-0.44	0.26	2.70E-03	
EBP2	YKL172W	YKL172W	rRNA processing || molecular function unknown || YKL172W || 1086057	1.77	2.03E-01	0.21		down		7.57E-03	5.05E-03	-0.68	0.26	4.50E-03	
YPR050C	YPR050C	YPR050C	|| || YPR050C || 1086346	1.77	2.03E-01	0.35				2.80E-04	1.65E-04	-0.32	0.22	2.00E-04	
POL32	YJR043C	YJR043C	nucleotide-excision repair* || delta DNA polymerase activity || YJR043C || 1082983	1.78	2.02E-01	0.18		down		1.65E-02	1.07E-02	-0.55	0.29	1.66E-02	
YGR021W	YGR021W	YGR021W	biological process unknown || molecular function unknown || YGR021W || 1083615	1.78	2.01E-01	0.13				4.39E-02	3.01E-02	-1.42	0.35	1.35E-01	
HIT1	YJR055W	YJR055W	biological process unknown || molecular function unknown || YJR055W || 1080872	1.78	2.00E-01	0.11				7.43E-02	5.29E-02	-0.16	0.36	1.79E-01	
BET2	YPR176C	YPR176C	protein amino acid geranylgeranylation || Rab-protein geranylgeranyltransferase activity || YPR176C || 1085661	1.78	2.00E-01	0.19				1.12E-02	7.37E-03	-0.37	0.29	1.42E-02	
YDR157W	YDR157W	YDR157W	|| || YDR157W || 1082768	1.78	2.00E-01	0.39				1.00E-04	5.11E-05	-0.35	0.19	0.00E+00	
BI2	Q0110	Q0110	RNA splicing || nuclease activity || Q0110 || 1085918	1.78	2.00E-01	0.05				2.45E-01	1.97E-01	-0.67	0.57	9.36E-01	
PAP2	YOL115W	YOL115W	mitotic sister chromatid cohesion* || polynucleotide adenylyltransferase activity* || YOL115W || 1084908	1.79	1.99E-01	0.37				1.40E-04	8.71E-05	-0.43	0.21	0.00E+00	
YNL056W	YNL056W	YNL056W	biological process unknown || molecular function unknown || YNL056W || 1084989	1.79	1.99E-01	0.18				1.60E-02	1.04E-02	-0.28	0.28	9.40E-03	
RAD6	YGL058W	YGL058W	DNA repair* || ubiquitin conjugating enzyme activity || YGL058W || 1085045	1.79	1.99E-01	0.30				8.90E-04	5.85E-04	-0.37	0.22	3.00E-04	
TAD3	YLR316C	YLR316C	tRNA modification || tRNA specific adenosine deaminase activity || YLR316C || 1081991	1.79	1.99E-01	0.31				5.30E-04	3.96E-04	-0.38	0.22	1.00E-04	
VPS74	YDR372C	YDR372C	protein-vacuolar targeting || molecular function unknown || YDR372C || 1084584	1.79	1.98E-01	0.36				1.40E-04	9.65E-05	-0.13	0.20	0.00E+00	
YHR112C	YHR112C	YHR112C	sulfur metabolism || cystathionine beta-lyase activity || YHR112C || 1080657	1.79	1.98E-01	0.05		up		2.19E-01	1.74E-01	0.02	0.52	8.54E-01	
APN1	YKL114C	YKL114C	DNA repair* || DNA-(apurinic or apyrimidinic site) lyase activity || YKL114C || 1086481	1.79	1.98E-01	0.34				2.80E-04	1.69E-04	-0.31	0.19	0.00E+00	
HOF1	YMR032W	YMR032W	cytokinesis || cytoskeletal protein binding || YMR032W || 1085056	1.79	1.98E-01	0.33				3.30E-04	2.33E-04	-0.48	0.21	1.00E-04	
NUP1	YOR098C	YOR098C	mRNA-nucleus export* || protein binding* || YOR098C || 1082970	1.79	1.97E-01	0.14				3.66E-02	2.48E-02	-0.45	0.33	8.58E-02	
ECM25	YJL201W	YJL201W	cell wall organization and biogenesis* || molecular function unknown || YJL201W || 1082346	1.79	1.97E-01	0.32				5.00E-04	3.61E-04	-0.17	0.21	0.00E+00	
YLR374C	YLR374C	YLR374C	|| || YLR374C || 1083766	1.79	1.97E-01	0.21				7.44E-03	4.95E-03	-0.68	0.27	7.00E-03	
CAC2	YML102W	YML102W	DNA repair* || transcription regulator activity || YML102W || 1081677	1.79	1.97E-01	0.15				3.09E-02	2.06E-02	-0.52	0.31	3.24E-02	
DRS1	YLL008W	YLL008W	35S primary transcript processing* || ATP-dependent RNA helicase activity || YLL008W || 1083906	1.79	1.97E-01	0.39		down		1.00E-04	4.97E-05	-0.60	0.20	0.00E+00	
MNL1	YHR204W	YHR204W	ER-associated protein catabolism || carbohydrate binding || YHR204W || 1086188	1.80	1.97E-01	0.26				2.09E-03	1.44E-03	-0.72	0.24	8.00E-04	
LCP5	YER127W	YER127W	rRNA modification* || RNA binding || YER127W || 1085502	1.80	1.96E-01	0.28		down		1.18E-03	8.44E-04	-0.44	0.24	8.00E-04	
YDR339C	YDR339C	YDR339C	biological process unknown || molecular function unknown || YDR339C || 1085927	1.80	1.96E-01	0.12		down		5.86E-02	4.14E-02	-0.09	0.33	6.55E-02	
BPL1	YDL141W	YDL141W	protein amino acid biotinylation || biotin-[acetyl-CoA-carboxylase] ligase activity* || YDL141W || 1081428	1.80	1.95E-01	0.31				5.20E-04	3.77E-04	-0.39	0.23	5.00E-04	
YOR305W	YOR305W	YOR305W	biological process unknown || molecular function unknown || YOR305W || 1084339	1.81	1.94E-01	0.37				1.40E-04	9.07E-05	-0.38	0.19	0.00E+00	
LCB3	YJL134W	YJL134W	sphingolipid biosynthesis* || sphingosine-1-phosphate phosphatase activity || YJL134W || 1086795	1.81	1.94E-01	0.28				1.27E-03	9.20E-04	-0.42	0.24	6.00E-04	
YPD1	YDL235C	YDL235C	"response to osmotic stress* || transferase activity, transferring phosphorus-containing groups || YDL235C || 1086607"	1.81	1.94E-01	0.30				8.90E-04	5.87E-04	-0.18	0.19	0.00E+00	
KAP104	YBR017C	YBR017C	protein-nucleus import* || nuclear localization sequence binding || YBR017C || 1084888	1.81	1.94E-01	0.43				3.00E-05	1.51E-05	-0.31	0.17	0.00E+00	
CNE1	YAL058W	YAL058W	protein folding* || unfolded protein binding || YAL058W || 1086512	1.82	1.92E-01	0.11				6.32E-02	4.47E-02	-0.81	0.37	2.29E-01	
ATP18	YML081C-A	YML081C-A	"ATP synthesis coupled proton transport || hydrogen-transporting ATP synthase activity, rotational mechanism || YML081C-A || 1083489"	1.82	1.90E-01	0.08				1.15E-01	8.54E-02	-0.53	0.37	1.94E-01	
HTS1	YPR033C	YPR033C	histidyl-tRNA aminoacylation || histidine-tRNA ligase activity || YPR033C || 1086187	1.83	1.89E-01	0.24		down		3.91E-03	2.61E-03	-0.48	0.23	4.00E-04	
UTP22	YGR090W	YGR090W	35S primary transcript processing || snoRNA binding || YGR090W || 1085612	1.83	1.89E-01	0.48				0.00E+00	3.28E-06	-0.29	0.18	0.00E+00	
ADE2	YOR128C	YOR128C	'de novo' IMP biosynthesis* || phosphoribosylaminoimidazole carboxylase activity || YOR128C || 1081437	1.83	1.89E-01	0.33				3.80E-04	2.66E-04	-0.48	0.22	3.00E-04	
RSC9	YML127W	YML127W	regulation of transcription from RNA polymerase II promoter* || chromatin binding || YML127W || 1081036	1.83	1.89E-01	0.16				2.14E-02	1.43E-02	-0.41	0.32	5.19E-02	
HAT1	YPL001W	YPL001W	chromatin silencing at telomere* || H3/H4 histone acetyltransferase activity || YPL001W || 1083945	1.83	1.89E-01	0.27				1.50E-03	1.08E-03	-0.27	0.20	0.00E+00	
YOR175C	YOR175C	YOR175C	biological process unknown || O-acyltransferase activity || YOR175C || 1086373	1.83	1.89E-01	0.37				1.40E-04	8.31E-05	-0.49	0.20	0.00E+00	
ARL1	YBR164C	YBR164C	protein-vacuolar targeting* || GTPase activity || YBR164C || 1083662	1.83	1.88E-01	0.14				3.99E-02	2.72E-02	-0.38	0.32	5.43E-02	
DSS4	YPR017C	YPR017C	secretory pathway || guanyl-nucleotide exchange factor activity* || YPR017C || 1082729	1.83	1.88E-01	0.25				2.71E-03	1.84E-03	-0.30	0.23	4.00E-04	
SCD6	YPR129W	YPR129W	RNA metabolism || RNA binding || YPR129W || 1084691	1.83	1.88E-01	0.17				1.80E-02	1.18E-02	-0.90	0.31	3.37E-02	
YGL231C	YGL231C	YGL231C	biological process unknown || molecular function unknown || YGL231C || 1086534	1.84	1.87E-01	0.17				2.05E-02	1.37E-02	-0.32	0.26	3.20E-03	
BFR2	YDR299W	YDR299W	ER to Golgi transport || molecular function unknown || YDR299W || 1083882	1.84	1.87E-01	0.23				4.83E-03	3.22E-03	-0.63	0.26	4.50E-03	
COG2	YGR120C	YGR120C	ER to Golgi transport* || protein binding || YGR120C || 1086754	1.84	1.87E-01	0.19				1.21E-02	7.88E-03	-0.37	0.24	7.00E-04	
