Entry	Status	Protein names	Organism	Length	Gene names  (ordered locus )	Gene names  (primary )	Cross-reference (KEGG)	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
Q6BKU2	unreviewed	DEHA2F19184p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	114	DEHA2F19184g		dha:DEHA2F19184g;				
Q6BSW0	unreviewed	DEHA2D05588p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	176	DEHA2D05588g		dha:DEHA2D05588g;	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]		endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	
Q6BTQ5	unreviewed	DNA repair protein RAD51 homolog	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	350	DEHA2C16698g		dha:DEHA2C16698g;	chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]; ATP binding [GO:0005524]; ATPase activity, acting on DNA [GO:0008094]; double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]; Swi5-Sfr1 complex binding [GO:1905334]; double-strand break repair involved in meiotic recombination [GO:1990918]; double-strand break repair via homologous recombination [GO:0000724]; interstrand cross-link repair [GO:0036297]; mating type switching [GO:0007533]; meiotic strand invasion [GO:0000708]; mitotic recombination [GO:0006312]; mitotic recombination-dependent replication fork processing [GO:1990426]; protein homooligomerization [GO:0051260]; stalled replication fork localization to nuclear periphery [GO:0120290]; telomere maintenance [GO:0000723]	double-strand break repair involved in meiotic recombination [GO:1990918]; double-strand break repair via homologous recombination [GO:0000724]; interstrand cross-link repair [GO:0036297]; mating type switching [GO:0007533]; meiotic strand invasion [GO:0000708]; mitotic recombination [GO:0006312]; mitotic recombination-dependent replication fork processing [GO:1990426]; protein homooligomerization [GO:0051260]; stalled replication fork localization to nuclear periphery [GO:0120290]; telomere maintenance [GO:0000723]	chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]	ATPase activity, acting on DNA [GO:0008094]; ATP binding [GO:0005524]; double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]; Swi5-Sfr1 complex binding [GO:1905334]
B5RUJ3	unreviewed	DEHA2F19140p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	576	DEHA2F19140g		dha:DEHA2F19140g;	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]		integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]
Q6BP56	unreviewed	26S proteasome regulatory subunit RPN1	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	967	DEHA2E16390g		dha:DEHA2E16390g;	ascospore-type prospore nucleus [GO:1905754]; nuclear periphery [GO:0034399]; nuclear proteasome complex [GO:0031595]; proteasome regulatory particle, base subcomplex [GO:0008540]; enzyme regulator activity [GO:0030234]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	ascospore-type prospore nucleus [GO:1905754]; nuclear periphery [GO:0034399]; nuclear proteasome complex [GO:0031595]; proteasome regulatory particle, base subcomplex [GO:0008540]	enzyme regulator activity [GO:0030234]
B5RUI2	unreviewed	DEHA2F16786p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	448	DEHA2F16786g		dha:DEHA2F16786g;	integral component of membrane [GO:0016021]; mannosyltransferase activity [GO:0000030]; protein glycosylation [GO:0006486]	protein glycosylation [GO:0006486]	integral component of membrane [GO:0016021]	mannosyltransferase activity [GO:0000030]
Q6BIM2	unreviewed	DEHA2G09240p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	500	DEHA2G09240g		dha:DEHA2G09240g;				
Q6BSJ7	unreviewed	DEHA2D08338p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	191	DEHA2D08338g		dha:DEHA2D08338g;				
Q6BMQ5	unreviewed	DEHA2F03454p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	446	DEHA2F03454g		dha:DEHA2F03454g;				
B5RV11	unreviewed	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	617	DEHA2G01254g		dha:DEHA2G01254g;	methylenetetrahydrofolate reductase NADH activity [GO:0106312]; methylenetetrahydrofolate reductase NADPH activity [GO:0106313]; methionine biosynthetic process [GO:0009086]; tetrahydrofolate interconversion [GO:0035999]	methionine biosynthetic process [GO:0009086]; tetrahydrofolate interconversion [GO:0035999]		methylenetetrahydrofolate reductase NADH activity [GO:0106312]; methylenetetrahydrofolate reductase NADPH activity [GO:0106313]
B5RT61	unreviewed	DEHA2C02156p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	900	DEHA2C02156g		dha:DEHA2C02156g;				
Q6BU55	unreviewed	DEHA2C13464p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	545	DEHA2C13464g		dha:DEHA2C13464g;	NAD+ kinase activity [GO:0003951]; NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]	NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]		NAD+ kinase activity [GO:0003951]
B5RUB0	unreviewed	DEHA2F07106p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	143	DEHA2F07106g		dha:DEHA2F07106g;				
Q6BHI2	unreviewed	DEHA2G18370p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	460	DEHA2G18370g		dha:DEHA2G18370g;				
Q6BRJ8	unreviewed	DEHA2D15840p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	695	DEHA2D15840g		dha:DEHA2D15840g;	ATP binding [GO:0005524]; ATPase activity [GO:0016887]			ATPase activity [GO:0016887]; ATP binding [GO:0005524]
Q6BP54	unreviewed	DEHA2E16434p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	481	DEHA2E16434g		dha:DEHA2E16434g;	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; methylmalonate-semialdehyde dehydrogenase (acylating) activity [GO:0004491]; positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation [GO:0036086]	positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation [GO:0036086]		DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; methylmalonate-semialdehyde dehydrogenase (acylating) activity [GO:0004491]
B5RUA5	unreviewed	DEHA2F05896p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	658	DEHA2F05896g		dha:DEHA2F05896g;	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]		cytoplasm [GO:0005737]	metal ion binding [GO:0046872]
Q6BWU3	unreviewed	DEHA2B08514p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	426	DEHA2B08514g		dha:DEHA2B08514g;	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]	
Q6BW69	unreviewed	DEHA2B13882p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	623	DEHA2B13882g		dha:DEHA2B13882g;	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]		integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]	
Q6BSY7	unreviewed	DEHA2D04994p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	144	DEHA2D04994g		dha:DEHA2D04994g;				
Q6BVW6	unreviewed	DEHA2B16148p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	750	DEHA2B16148g		dha:DEHA2B16148g;	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
Q6BLG1	unreviewed	DEHA2F13728p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	910	DEHA2F13728g		dha:DEHA2F13728g;				
Q6BRD7	unreviewed	DEHA2D17226p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	197	DEHA2D17226g		dha:DEHA2D17226g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BSE1	unreviewed	DEHA2D09526p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	208	DEHA2D09526g		dha:DEHA2D09526g;	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]		
Q6BTJ0	unreviewed	DEHA2D00242p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	64	DEHA2D00242g		dha:DEHA2D00242g;				
Q6BZA2	unreviewed	DEHA2A02860p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	250	DEHA2A02860g		dha:DEHA2A02860g;	proteasome core complex, alpha-subunit complex [GO:0019773]; ubiquitin-dependent protein catabolic process [GO:0006511]	ubiquitin-dependent protein catabolic process [GO:0006511]	proteasome core complex, alpha-subunit complex [GO:0019773]	
Q6BWJ9	unreviewed	DEHA2B10736p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	85	DEHA2B10736g		dha:DEHA2B10736g;	integral component of membrane [GO:0016021]; endoribonuclease activity [GO:0004521]		integral component of membrane [GO:0016021]	endoribonuclease activity [GO:0004521]
W0TYS2	unreviewed	DEHA2E02552p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	39	DEHA2E02552g		dha:DEHA2E02552g;				
Q6BIM9	unreviewed	DEHA2G09086p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	111	DEHA2G09086g		dha:DEHA2G09086g;				
Q6BPK8	unreviewed	DEHA2E12782p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	230	DEHA2E12782g		dha:DEHA2E12782g;	ESCRT III complex [GO:0000815]; ATP export [GO:1904669]; intralumenal vesicle formation [GO:0070676]; protein retention in Golgi apparatus [GO:0045053]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]	ATP export [GO:1904669]; intralumenal vesicle formation [GO:0070676]; protein retention in Golgi apparatus [GO:0045053]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]	ESCRT III complex [GO:0000815]	
Q6BSS6	unreviewed	DEHA2D06578p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	593	DEHA2D06578g		dha:DEHA2D06578g;				
Q6BT59	unreviewed	DEHA2D03300p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1562	DEHA2D03300g		dha:DEHA2D03300g;	chromatin binding [GO:0003682]; metal ion binding [GO:0046872]			chromatin binding [GO:0003682]; metal ion binding [GO:0046872]
Q6BNN1	unreviewed	DEHA2E20394p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	598	DEHA2E20394g		dha:DEHA2E20394g;				
Q6BKU5	unreviewed	DEHA2F19118p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	136	DEHA2F19118g		dha:DEHA2F19118g;				
B5RU61	unreviewed	DEHA2E23210p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	72	DEHA2E23210g		dha:DEHA2E23210g;				
Q6BWP9	unreviewed	Polyprenol reductase (EC 1.3.1.94)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	299	DEHA2B09592g		dha:DEHA2B09592g;	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; 3-oxo-5-alpha-steroid 4-dehydrogenase activity [GO:0003865]; methyltransferase activity [GO:0008168]; polyprenol reductase activity [GO:0102389]; dolichol metabolic process [GO:0019348]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; methylation [GO:0032259]; polyprenol catabolic process [GO:0016095]	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; dolichol metabolic process [GO:0019348]; methylation [GO:0032259]; polyprenol catabolic process [GO:0016095]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	3-oxo-5-alpha-steroid 4-dehydrogenase activity [GO:0003865]; methyltransferase activity [GO:0008168]; polyprenol reductase activity [GO:0102389]
B5RTS0	unreviewed	DEHA2E00132p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	52	DEHA2E00132g		dha:DEHA2E00132g;				
Q6BVI5	unreviewed	DEHA2C02398p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	362	DEHA2C02398g		dha:DEHA2C02398g;				
Q6BYC5	unreviewed	Protein kish	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	71	DEHA2A10604g		dha:DEHA2A10604g;	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]		Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	
Q6BUF1	unreviewed	DEHA2C11352p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	119	DEHA2C11352g		dha:DEHA2C11352g;				
B5RTC8	unreviewed	DEHA2C16412p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	840	DEHA2C16412g		dha:DEHA2C16412g;				
Q6BTN4	unreviewed	DEHA2C17160p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	719	DEHA2C17160g		dha:DEHA2C17160g;	integral component of membrane [GO:0016021]; catalytic activity [GO:0003824]		integral component of membrane [GO:0016021]	catalytic activity [GO:0003824]
Q6BLP7	unreviewed	DEHA2F11748p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	148	DEHA2F11748g		dha:DEHA2F11748g;				
Q6BU47	unreviewed	Arginosuccinase	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	465	DEHA2C13662g		dha:DEHA2C13662g;	cytosol [GO:0005829]; argininosuccinate lyase activity [GO:0004056]; arginine biosynthetic process via ornithine [GO:0042450]	arginine biosynthetic process via ornithine [GO:0042450]	cytosol [GO:0005829]	argininosuccinate lyase activity [GO:0004056]
B5RUA6	unreviewed	DEHA2F06446p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	884	DEHA2F06446g		dha:DEHA2F06446g;	nucleus [GO:0005634]; ATP binding [GO:0005524]; nucleosome-dependent ATPase activity [GO:0070615]; double-strand break repair via homologous recombination [GO:0000724]; reciprocal meiotic recombination [GO:0007131]	double-strand break repair via homologous recombination [GO:0000724]; reciprocal meiotic recombination [GO:0007131]	nucleus [GO:0005634]	ATP binding [GO:0005524]; nucleosome-dependent ATPase activity [GO:0070615]
Q6BJB2	unreviewed	DEHA2G03762p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	463	DEHA2G03762g		dha:DEHA2G03762g;	RNA polymerase I core factor complex [GO:0070860]; metal ion binding [GO:0046872]; RNA polymerase I core promoter sequence-specific DNA binding [GO:0001164]		RNA polymerase I core factor complex [GO:0070860]	metal ion binding [GO:0046872]; RNA polymerase I core promoter sequence-specific DNA binding [GO:0001164]
B5RUI6	unreviewed	DEHA2F17138p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	403	DEHA2F17138g		dha:DEHA2F17138g;	transferase activity, transferring glycosyl groups [GO:0016757]			transferase activity, transferring glycosyl groups [GO:0016757]
Q6BPI4	unreviewed	DEHA2E13376p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	586	DEHA2E13376g		dha:DEHA2E13376g;				
B5RUG5	unreviewed	DEHA2F14124p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	727	DEHA2F14124g		dha:DEHA2F14124g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BWX7	unreviewed	DEHA2B07656p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	101	DEHA2B07656g		dha:DEHA2B07656g;				
Q6BP55	unreviewed	DEHA2E16412p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	564	DEHA2E16412g		dha:DEHA2E16412g;	signal transduction [GO:0007165]	signal transduction [GO:0007165]		
B5RUS3	unreviewed	Ribosomal protein L19	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	186	DEHA2G13728g		dha:DEHA2G13728g;	cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q6BWP8	unreviewed	DEHA2B09614p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	444	DEHA2B09614g		dha:DEHA2B09614g;				
Q6BMB4	unreviewed	Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.205) (2'-O-ribose RNA methyltransferase TRM7 homolog)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	301	DEHA2F06842g	TRM7	dha:DEHA2F06842g;	cytoplasm [GO:0005737]; tRNA (cytidine 32-2'-O)-methyltransferase activity [GO:0106339]; tRNA (guanosine 32-2'-O)-methyltransferase activity [GO:0106340]; cytoplasmic translation [GO:0002181]; wobble position ribose methylation [GO:0002130]	cytoplasmic translation [GO:0002181]; wobble position ribose methylation [GO:0002130]	cytoplasm [GO:0005737]	tRNA (cytidine 32-2'-O)-methyltransferase activity [GO:0106339]; tRNA (guanosine 32-2'-O)-methyltransferase activity [GO:0106340]
Q6BXF5	unreviewed	DEHA2B03454p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	332	DEHA2B03454g		dha:DEHA2B03454g;				
W0TYR3	unreviewed	DEHA2D01034p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	469	DEHA2D01034g		dha:DEHA2D01034g;	flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]			flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]
Q6BVL4	unreviewed	DEHA2C01672p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	822	DEHA2C01672g		dha:DEHA2C01672g;	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]
Q6BUL8	unreviewed	DEHA2C09592p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	221	DEHA2C09592g		dha:DEHA2C09592g;	integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	
Q6BII4	unreviewed	DEHA2G10142p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	504	DEHA2G10142g		dha:DEHA2G10142g;	catalytic step 2 spliceosome [GO:0071013]; nuclear periphery [GO:0034399]; post-mRNA release spliceosomal complex [GO:0071014]; Prp19 complex [GO:0000974]; second spliceosomal transesterification activity [GO:0000386]; generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA 3'-splice site recognition [GO:0000389]; mRNA branch site recognition [GO:0000348]	generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA 3'-splice site recognition [GO:0000389]; mRNA branch site recognition [GO:0000348]	catalytic step 2 spliceosome [GO:0071013]; nuclear periphery [GO:0034399]; post-mRNA release spliceosomal complex [GO:0071014]; Prp19 complex [GO:0000974]	second spliceosomal transesterification activity [GO:0000386]
Q6BHB4	unreviewed	DEHA2G19866p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	442	DEHA2G19866g		dha:DEHA2G19866g;	cytoplasm [GO:0005737]; translation initiation factor activity [GO:0003743]		cytoplasm [GO:0005737]	translation initiation factor activity [GO:0003743]
Q6BND7	unreviewed	DEHA2E22616p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	245	DEHA2E22616g		dha:DEHA2E22616g;				
Q6BHK5	unreviewed	DEHA2G17864p	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	173	DEHA2G17864g		dha:DEHA2G17864g;	peroxidase activity [GO:0004601]			peroxidase activity [GO:0004601]
Q6BJ80	unreviewed	Thioredoxin	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	103	DEHA2G04488g		dha:DEHA2G04488g;	protein disulfide oxidoreductase activity [GO:0015035]; glycerol ether metabolic process [GO:0006662]	glycerol ether metabolic process [GO:0006662]		protein disulfide oxidoreductase activity [GO:0015035]
Q6BMW0	unreviewed	Phosphoserine aminotransferase (EC 2.6.1.52)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	393	DEHA2F02200g		dha:DEHA2F02200g;	O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]; L-serine biosynthetic process [GO:0006564]; purine nucleobase biosynthetic process [GO:0009113]	L-serine biosynthetic process [GO:0006564]; purine nucleobase biosynthetic process [GO:0009113]		O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]
